运动项目ID,运动项目名称,运动项目类别,消耗热量,训练步骤（文字描述）
200001,HIIT 碎片燃脂,跑步机课程,98,热身激活：慢走（1分钟），快走（1分钟），慢跑（1分钟） 训练：快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟），快跑（1分钟） 放松：慢跑（1分钟），快走（1分钟）
200002,HIIT 初级燃脂,跑步机课程,179,热身激活：慢走（1分钟），快走（1分钟），慢跑（2分钟），快走（1分钟） 第一阶段变速燃脂：慢跑（1分钟），快跑（1分钟），慢跑（2分钟），快走（1分钟） 第二段变速燃脂：慢跑（1分钟），快跑（2分钟），慢跑（1分钟），快走（1分钟），第三段变速燃脂：慢跑（1分钟），快跑（1分钟），慢跑（1分钟） 放松：快走（2分钟）
200003,HIIT 强化燃脂,跑步机课程,263,热身激活：慢走（1分钟），快走（1分钟），慢跑（1分钟） 第一段燃脂跑：快跑（2分钟），慢跑（2分钟） 第二段燃脂跑：快跑（2分钟），慢跑（2分钟） 第三段燃脂跑：快跑（2分钟），慢跑（2分钟） 第四段燃脂跑：快跑（2分钟），慢跑（2分钟） 第五段燃脂跑：快跑（2分钟），慢跑（2分钟） 放松恢复：快走（2分钟）
200004,MIIT 初级燃脂,跑步机课程,162,热身：慢走（1分钟），快走（2分钟） 训练：慢跑（2分钟），快走（1分钟），慢跑（3分钟），快走（1分钟），慢跑（2分钟），快走（1分钟），慢跑（2分钟），快走（1分钟），慢跑（1分钟） 放松：快走（3分钟）
200005,MIIT 进阶燃脂,跑步机课程,209,慢走（1分钟），快走（1分钟），慢跑（3分钟），快走（1分钟），慢跑（3分钟），快走（1分钟），慢跑（2分钟），快走（1分钟），慢跑（2分钟），快走（1分钟），慢跑（1分钟），快走（1分钟），慢跑（2分钟），快走（1分钟），慢跑（1分钟），快走（3分钟）
200006,MIIT 强化燃脂,跑步机课程,291,热身：快走（3分钟） 训练：慢跑（3分钟），快走（2分钟），慢跑（4分钟），快走（2分钟），慢跑（5分钟），快走（3分钟），慢跑（4分钟），快走（3分钟），慢跑（3分钟） 放松恢复：快走（3分钟）
200007,HIIT耐力挑战,跑步机课程,315,热身激活：慢走（1分钟），快走（1分钟），慢跑（1分钟） 第一段循环减脂：快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟） 第二段循环减脂：快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟） 第三段循环减脂：快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟） 第四段循环减脂：快跑（1分钟），慢跑（1分钟），快跑（1分钟），慢跑（1分钟），快跑（1分钟） 放松恢复：慢跑（2分钟），快走（2分钟）
200008,HIIT速度挑战,跑步机课程,340,热身激活：快走（1分钟），慢跑（3分钟），快跑（3分钟），快走（1分钟） 第一循环挑战：快跑（3分钟），慢跑（3分钟），快跑（3分钟），快走（1分钟） 第二循环挑战：快跑（3分钟），慢跑（3分钟），快跑（3分钟），快走（1分钟） 第三循环挑战：快跑（3分钟），慢跑（3分钟），快跑（3分钟） 恢复放松：快走（3分钟）
200009,综合燃脂挑战,跑步机课程,491,热身：快走（1分钟），慢跑（4分钟） 上身动作练习：快跑（3分钟），慢跑（2分钟），快走（1分钟） 摆臂练习：慢跑（2分钟），快跑（3分钟），慢跑（2分钟），快走（1分钟） 呼吸练习：慢跑（2分钟），快跑（3分钟），慢跑（2分钟），快走（1分钟） 步频练习：慢跑（2分钟），快跑（3分钟），慢跑（2分钟），快走（1分钟） 综合复习：慢跑（2分钟），快跑（3分钟），慢跑（2分钟） 放松恢复：快走（3分钟）
200010,极限变速挑战,跑步机课程,620,热身激活：快走（1分钟），慢跑（4分钟），快跑（3分钟） 摆臂练习：慢跑（3分钟），快跑（4分钟） 呼吸练习：慢跑（3分钟），快跑（5分钟） 步频练习：慢跑（3分钟），快跑（4分钟） 摆臂&呼吸复习：慢跑（3分钟），快跑（3分钟） 呼吸&步频复习：慢跑（3分钟），快跑（2分钟） 综合复习：慢跑（5分钟），快跑（1分钟），慢跑（7分钟），快跑（1分钟） 放松恢复：慢跑（2分钟），快走（3分钟）
